name,position,team,season,games,fantasy_points_ppr,targets,carries,receiving_yards,rushing_yards,receptions,receiving_tds,rushing_tds,passing_yards,passing_tds,interceptions,clean_name,player_key,avg_fantasy_points_3yr,avg_targets_3yr,avg_carries_3yr,performance_trend_pct,consistency_score,seasons_played,total_games,avg_opportunity,catch_rate,yards_per_target,total_touches,yards_per_touch,passing_efficiency,points_per_game,opportunity_share
J.SMITH,WR,SEA,2023,16.0,419.4,221.0,4.0,1558.0,16.0,190.0,12.0,0.0,0.0,0.0,0.0,J.SMITH,J.SMITH_WR,406.6,224.0,4.0,6.500761808024369,22.461688846128958,2,31.0,228.0,0.8597285067873304,7.049773755656108,0.0,0.0,0.0,26.2125,225.0
B.ROBINSON,WR,ATL,2023,16.0,120.4,12.0,125.0,97.0,627.0,12.0,0.0,6.0,0.0,0.0,0.0,B.ROBINSON,B.ROBINSON_WR,118.05000000000001,11.0,147.0,4.062229904926537,35.52083213577527,2,31.0,158.0,1.0,8.083333333333334,0.0,0.0,0.0,7.525,137.0
S.BARKLEY,RB,PHI,2023,16.0,294.0,28.0,293.0,236.0,1704.0,28.0,1.0,11.0,0.0,0.0,0.0,S.BARKLEY,S.BARKLEY_RB,309.9,29.5,310.0,-9.76058931860037,13.781911414447231,2,31.0,339.5,0.0,0.0,321.0,6.043613707165109,0.0,18.375,321.0
J.CHASE,WR,CIN,2023,16.0,178.8,85.0,0.0,768.0,0.0,72.0,5.0,0.0,0.0,0.0,0.0,J.CHASE,J.CHASE_WR,159.7,87.5,0.0,27.169274537695603,5.912301201858198,2,31.0,87.5,0.8470588235294118,9.035294117647059,0.0,0.0,0.0,11.175,85.0
J.GIBBS,WR,DET,2023,16.0,255.2,37.0,221.0,374.0,1098.0,54.0,0.0,9.0,0.0,0.0,0.0,J.GIBBS,J.GIBBS_WR,225.55,37.0,194.0,30.270546197039295,5.379019713208292,2,31.0,231.0,1.4594594594594594,10.108108108108109,0.0,0.0,0.0,15.95,258.0
J.JACOBS,WR,GB,2023,16.0,121.9,4.0,236.0,40.0,959.0,4.0,0.0,3.0,0.0,0.0,0.0,J.JACOBS,J.JACOBS_WR,109.85,3.5,218.0,24.642126789366063,6.446114515630059,2,31.0,221.5,1.0,10.0,0.0,0.0,0.0,7.61875,240.0
A.ST,WR,DET,2023,16.0,222.8,139.0,0.0,818.0,0.0,81.0,10.0,0.0,0.0,0.0,0.0,A.ST,A.ST_WR,209.25,132.0,0.0,13.847726111395003,10.919711731607745,2,31.0,132.0,0.5827338129496403,5.884892086330935,0.0,0.0,0.0,13.925,139.0
D.MOORE,WR,CHI,2023,16.0,190.2,150.0,0.0,732.0,0.0,81.0,6.0,0.0,0.0,0.0,0.0,D.MOORE,D.MOORE_WR,173.1,124.5,0.0,21.923076923076916,7.157905486748036,2,31.0,124.5,0.54,4.88,0.0,0.0,0.0,11.8875,150.0
J.JEFFERSON,WR,DET,2023,16.0,235.0,140.0,0.0,1140.0,0.0,79.0,7.0,0.0,0.0,0.0,0.0,J.JEFFERSON,J.JEFFERSON_WR,222.5,133.0,0.0,11.904761904761903,12.586500705120546,2,31.0,133.0,0.5642857142857143,8.142857142857142,0.0,0.0,0.0,14.6875,140.0
D.HENRY,RB,BAL,2023,16.0,258.7,8.0,256.0,79.0,1548.0,12.0,0.0,14.0,0.0,0.0,0.0,D.HENRY,D.HENRY_RB,220.05,7.5,211.5,42.61300992282248,4.025843394569207,2,31.0,219.0,0.0,0.0,264.0,6.162878787878788,0.0,16.16875,264.0
