clean_name,season,position,games,fantasy_points_ppr,targets,carries,receiving_yards,rushing_yards,receptions,receiving_tds,rushing_tds,passing_yards,passing_tds,interceptions,team,name,player_key,avg_fantasy_points_3yr,avg_targets_3yr,avg_carries_3yr,performance_trend_pct,consistency_score,seasons_played,total_games,avg_opportunity,catch_rate,yards_per_target,total_touches,yards_per_touch,passing_efficiency,points_per_game,opportunity_share
A.ABDULLAH,2023,WR,16.0,98.4,35.0,43.0,184.0,300.0,26.0,3.0,1.0,0.0,0.0,0.0,LV,A.ABDULLAH,A.ABDULLAH_WR,92.85,27.0,42.5,12.714776632302415,11.829705339310069,2,31.0,69.5,0.7428571428571429,5.257142857142857,0.0,0.0,0.0,6.15,78.0
A.ANDERSON,2023,WR,16.0,64.1,0.0,90.0,0.0,401.0,0.0,0.0,4.0,0.0,0.0,0.0,BUF,A.ANDERSON,A.ANDERSON_WR,65.44999999999999,0.0,75.0,-4.041916167664675,34.28158431752554,2,31.0,75.0,0.0,0.0,0.0,0.0,0.0,4.00625,90.0
A.BARNER,2023,WR,16.0,49.5,28.0,0.0,195.0,0.0,18.0,2.0,0.0,0.0,0.0,0.0,SEA,A.BARNER,A.BARNER_WR,48.25,19.5,0.0,5.319148936170213,27.294321753800734,2,31.0,19.5,0.6428571428571429,6.964285714285714,0.0,0.0,0.0,3.09375,28.0
A.BROWN,2023,WR,16.0,176.9,70.0,0.0,999.0,0.0,53.0,4.0,0.0,0.0,0.0,0.0,PHI,A.BROWN,A.BROWN_WR,164.45,71.5,0.0,16.381578947368425,9.34005704145604,2,31.0,71.5,0.7571428571428571,14.271428571428572,0.0,0.0,0.0,11.05625,70.0
A.COOPER,2023,WR,16.0,165.7,81.0,0.0,777.0,0.0,76.0,2.0,0.0,0.0,0.0,0.0,BUF,A.COOPER,A.COOPER_WR,182.1,99.5,0.0,-16.52392947103275,7.851472247199406,2,31.0,99.5,0.9382716049382716,9.592592592592593,0.0,0.0,0.0,10.35625,81.0
A.EKELER,2023,WR,16.0,113.7,42.0,79.0,335.0,392.0,29.0,0.0,2.0,0.0,0.0,0.0,WAS,A.EKELER,A.EKELER_WR,103.25,35.5,78.0,22.521551724137936,6.986485661005839,2,31.0,113.5,0.6904761904761905,7.976190476190476,0.0,0.0,0.0,7.10625,121.0
A.ESTIME,2023,WR,16.0,27.4,4.0,40.0,28.0,206.0,4.0,0.0,0.0,0.0,0.0,0.0,DEN,A.ESTIME,A.ESTIME_WR,27.049999999999997,3.5,41.5,2.621722846441945,54.649252660274655,2,31.0,45.0,1.0,7.0,0.0,0.0,0.0,1.7125,44.0
A.GIBSON,2023,WR,16.0,64.9,23.0,79.0,152.0,377.0,12.0,0.0,0.0,0.0,0.0,0.0,NE,A.GIBSON,A.GIBSON_WR,67.2,21.5,63.0,-6.618705035971215,20.659815519885242,2,31.0,84.5,0.5217391304347826,6.608695652173913,0.0,0.0,0.0,4.05625,102.0
A.HOOPER,2023,WR,16.0,90.1,53.0,0.0,351.0,0.0,43.0,2.0,0.0,0.0,0.0,0.0,NE,A.HOOPER,A.HOOPER_WR,85.25,52.5,0.0,12.064676616915408,12.429041875495516,2,31.0,52.5,0.8113207547169812,6.622641509433962,0.0,0.0,0.0,5.63125,53.0
A.INGOLD,2023,WR,16.0,16.1,11.0,8.0,70.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,MIA,A.INGOLD,A.INGOLD_WR,14.3,10.0,8.0,28.800000000000008,5.61757053942646,2,31.0,18.0,0.7272727272727273,6.363636363636363,0.0,0.0,0.0,1.00625,19.0
A.IOSIVAS,2023,WR,16.0,104.2,56.0,0.0,452.0,0.0,29.0,5.0,0.0,0.0,0.0,0.0,CIN,A.IOSIVAS,A.IOSIVAS_WR,90.65,45.0,0.0,35.149156939040225,4.730570458639152,2,31.0,45.0,0.5178571428571429,8.071428571428571,0.0,0.0,0.0,6.5125,56.0
A.JONES,2023,WR,16.0,184.6,57.0,223.0,268.0,888.0,45.0,1.0,3.0,0.0,0.0,0.0,MIN,A.JONES,A.JONES_WR,164.39999999999998,53.5,172.5,28.01664355062414,5.754869050844969,2,31.0,226.0,0.7894736842105263,4.701754385964913,0.0,0.0,0.0,11.5375,280.0
A.KAMARA,2023,RB,16.0,191.9,71.0,155.0,447.0,502.0,55.0,2.0,5.0,0.0,0.0,0.0,NO,A.KAMARA,A.KAMARA_RB,176.55,61.0,146.5,19.044665012406963,8.132879623354066,2,31.0,207.5,0.0,0.0,226.0,4.199115044247788,0.0,11.99375,226.0
A.LAZARD,2023,WR,16.0,94.6,39.0,0.0,436.0,0.0,27.0,4.0,0.0,0.0,0.0,0.0,NYJ,A.LAZARD,A.LAZARD_WR,89.44999999999999,34.0,0.0,12.218268090154208,12.281689626628483,2,31.0,34.0,0.6923076923076923,11.179487179487179,0.0,0.0,0.0,5.9125,39.0
A.MATTISON,2023,WR,16.0,85.5,33.0,101.0,213.0,232.0,29.0,1.0,1.0,0.0,0.0,0.0,LV,A.MATTISON,A.MATTISON_WR,89.2,26.5,89.5,-7.965554359526378,17.04700672482162,2,31.0,116.0,0.8787878787878788,6.454545454545454,0.0,0.0,0.0,5.34375,134.0
A.MITCHELL,2023,WR,16.0,45.5,46.0,2.0,274.0,11.0,17.0,0.0,0.0,0.0,0.0,0.0,IND,A.MITCHELL,A.MITCHELL_WR,37.8,37.0,1.5,51.16279069767441,3.4712514712794147,2,31.0,38.5,0.3695652173913043,5.956521739130435,0.0,0.0,0.0,2.84375,48.0
A.OGLETREE,2023,WR,16.0,15.8,12.0,0.0,88.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,IND,A.OGLETREE,A.OGLETREE_WR,15.8,12.0,0.0,0.0,0.0,1,16.0,12.0,0.5833333333333334,7.333333333333333,0.0,0.0,0.0,0.9875,12.0
A.PIERCE,2023,WR,16.0,157.2,51.0,0.0,822.0,0.0,33.0,7.0,0.0,0.0,0.0,0.0,IND,A.PIERCE,A.PIERCE_WR,139.75,52.5,0.0,28.5363859362224,5.662932531279085,2,31.0,52.5,0.6470588235294118,16.11764705882353,0.0,0.0,0.0,9.825,51.0
A.RICHARDSON,2023,WR,16.0,53.3,2.0,46.0,0.0,293.0,0.0,0.0,4.0,0.0,0.0,0.0,IND,A.RICHARDSON,A.RICHARDSON_WR,58.15,1.5,48.5,-15.3968253968254,8.477991613607777,2,31.0,50.0,0.0,0.0,0.0,0.0,0.0,3.33125,48.0
A.ST,2023,WR,16.0,222.8,139.0,0.0,818.0,0.0,81.0,10.0,0.0,0.0,0.0,0.0,DET,A.ST,A.ST_WR,209.25,132.0,0.0,13.847726111395003,10.919711731607745,2,31.0,132.0,0.5827338129496403,5.884892086330935,0.0,0.0,0.0,13.925,139.0
A.THIELEN,2023,WR,16.0,113.6,53.0,0.0,526.0,0.0,37.0,4.0,0.0,0.0,0.0,0.0,CAR,A.THIELEN,A.THIELEN_WR,104.3,52.0,0.0,19.578947368421044,7.930240567500745,2,31.0,52.0,0.6981132075471698,9.924528301886792,0.0,0.0,0.0,7.1,53.0
A.TRAUTMAN,2023,WR,16.0,33.5,20.0,0.0,175.0,0.0,10.0,1.0,0.0,0.0,0.0,0.0,DEN,A.TRAUTMAN,A.TRAUTMAN_WR,30.7,17.5,0.0,20.071684587813625,7.752920779438215,2,31.0,17.5,0.5,8.75,0.0,0.0,0.0,2.09375,20.0
B.AIYUK,2023,WR,16.0,49.2,30.0,0.0,322.0,0.0,17.0,0.0,0.0,0.0,0.0,0.0,SF,B.AIYUK,B.AIYUK_WR,47.8,31.0,0.0,6.034482758620699,24.1426458147978,2,31.0,31.0,0.5666666666666667,10.733333333333333,0.0,0.0,0.0,3.075,30.0
B.ALLEN,2023,QB,16.0,68.5,22.0,76.0,97.0,328.0,14.0,0.0,2.0,0.0,0.0,0.0,NYJ,B.ALLEN,B.ALLEN_QB,64.25,22.0,70.5,14.166666666666666,10.689790750878984,2,31.0,92.5,0.0,0.0,0.0,0.0,0.0,4.28125,98.0
B.BOWERS,2023,WR,16.0,209.7,141.0,3.0,1009.0,8.0,90.0,3.0,0.0,0.0,0.0,0.0,LV,B.BOWERS,B.BOWERS_WR,200.05,123.5,3.0,10.13655462184873,14.658726588224765,2,31.0,126.5,0.6382978723404256,7.156028368794326,0.0,0.0,0.0,13.10625,144.0
B.CLEVELAND,2023,WR,16.0,27.3,0.0,10.0,0.0,33.0,0.0,0.0,4.0,0.0,0.0,0.0,BAL,B.CLEVELAND,B.CLEVELAND_WR,27.1,0.0,9.5,1.4869888475836512,95.81296885077668,2,31.0,9.5,0.0,0.0,0.0,0.0,0.0,1.70625,10.0
B.COOKS,2023,RB,16.0,57.3,43.0,2.0,176.0,7.0,21.0,3.0,0.0,0.0,0.0,0.0,DAL,B.COOKS,B.COOKS_RB,49.15,35.5,1.5,39.756097560975604,4.264331079180224,2,31.0,37.0,0.0,0.0,45.0,4.066666666666666,0.0,3.58125,45.0
