clean_name,season,position,games,fantasy_points_ppr,targets,carries,receiving_yards,rushing_yards,receptions,receiving_tds,rushing_tds,passing_yards,passing_tds,interceptions,recent_team,player_name,player_key,avg_fantasy_points_3yr,avg_targets_3yr,avg_carries_3yr,performance_trend_pct,consistency_score,seasons_played,total_games,avg_opportunity,total_touches,yards_per_touch,passing_efficiency,catch_rate,yards_per_target,points_per_game,opportunity_share
AARON JONES,2024,RB,18,250.6,68,268,420.0,1186.0,54,2,5,0.0,0,0.0,MIN,Aaron Jones,AARON JONES_RB,227.6000213623047,63.333333333333336,220.66666666666666,36.492374420166016,5.970895767211914,3,48,284.0,336.0,4.779761791229248,0.0,0.0,0.0,13.922222561306423,336
AARON RODGERS,2024,QB,17,256.58,0,22,0.0,107.0,0,0,0,3897.0,28,11.0,NYJ,Aaron Rodgers,AARON RODGERS_QB,165.25999450683594,0.0,18.666666666666668,0.0,1.1525778770446777,3,35,18.666666666666668,0.0,0.0,7.18501411342058,0.0,0.0,15.09294038660386,22
AARON SHAMPKLIN,2024,RB,3,1.6999999,0,6,0.0,17.0,0,0,0,0.0,0,0.0,PIT,Aaron Shampklin,AARON SHAMPKLIN_RB,1.6999999284744263,0.0,6.0,0.0,0.0,1,3,6.0,6.0,2.8333332538604736,0.0,0.0,0.0,0.5666666428248087,6
ADAM THIELEN,2024,WR,10,139.5,62,0,615.0,0.0,48,5,0,0.0,0,0.0,CAR,Adam Thielen,ADAM THIELEN_WR,186.1666717529297,103.33333333333333,0.6666666666666666,-39.610389709472656,4.066768646240234,3,45,104.0,0.0,0.0,0.0,0.7741935483870968,9.919354838709678,13.95,62
ADAM TRAUTMAN,2024,TE,14,45.0,23,0,190.0,0.0,14,2,0,0.0,0,0.0,DEN,Adam Trautman,ADAM TRAUTMAN_TE,50.0333366394043,26.666666666666668,0.0,-25.49669075012207,5.572230339050293,3,42,26.666666666666668,0.0,0.0,0.0,0.6086956521739131,8.26086956521739,3.2142857142857144,23
ADONAI MITCHELL,2024,WR,17,53.76,55,4,312.0,6.0,23,0,0,24.0,0,0.0,IND,Adonai Mitchell,ADONAI MITCHELL_WR,53.7599983215332,55.0,4.0,0.0,0.0,1,17,59.0,0.0,0.0,0.0,0.41818181818181815,5.672727272727273,3.1623528424431298,59
AIDAN OCONNELL,2024,QB,9,93.479996,0,21,0.0,30.0,0,0,1,1612.0,8,4.0,LV,Aidan O'Connell,AIDAN OCONNELL_QB,109.64999389648438,0.0,19.0,-25.703388214111328,4.794943809509277,2,20,19.0,0.0,0.0,4.962779156327543,0.0,0.0,10.386666191948784,21
AINIAS SMITH,2024,WR,3,17.699999,9,2,41.0,6.0,7,1,0,0.0,0,0.0,PHI,Ainias Smith,AINIAS SMITH_WR,17.69999885559082,9.0,2.0,0.0,0.0,1,3,11.0,0.0,0.0,0.0,0.7777777777777778,4.555555555555555,5.899999618530273,11
AJ BARNER,2024,TE,14,78.5,38,0,245.0,0.0,30,4,0,0.0,0,0.0,SEA,A.J. Barner,AJ BARNER_TE,78.5,38.0,0.0,0.0,0.0,1,14,38.0,0.0,0.0,0.0,0.7894736842105263,6.447368421052632,5.607142857142857,38
AJ BROWN,2024,WR,17,257.2,120,0,1242.0,0.0,79,9,0,0.0,0,0.0,PHI,A.J. Brown,AJ BROWN_WR,293.3333435058594,148.33333333333334,0.0,-11.187843322753906,7.691508769989014,3,54,148.33333333333334,0.0,0.0,0.0,0.6583333333333333,10.35,15.129412482766543,120
AJ DILLON,2023,RB,15,117.6,28,178,223.0,613.0,22,0,2,0.0,0,0.0,GB,AJ Dillon,AJ DILLON_RB,142.60000610351562,35.5,182.0,-29.83293914794922,4.033336639404297,2,32,217.5,206.0,4.058252334594727,0.0,0.0,0.0,7.83999989827474,206
AJ GREEN,2022,WR,13,61.6,47,0,236.0,0.0,24,2,0,0.0,0,0.0,ARI,A.J. Green,AJ GREEN_WR,61.599998474121094,47.0,0.0,0.0,0.0,1,13,47.0,0.0,0.0,0.0,0.5106382978723404,5.0212765957446805,4.738461421086238,47
AJ MCCARRON,2023,QB,2,0.76,0,0,0.0,0.0,0,0,0,19.0,0,0.0,CIN,AJ McCarron,AJ MCCARRON_QB,0.7599999904632568,0.0,0.0,0.0,0.0,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.3799999952316284,0
