name,position,fantasy_points_target,weighted_historical_avg,consistency_score,performance_trend,seasons_played,total_career_points,games_played,targets,carries
A.ABDULLAH,WR,,,,,2,,16.0,35.0,43.0
A.ANDERSON,WR,,,,,2,,16.0,0.0,90.0
A.Abdullah,RB,125.2,125.2,0.5,0.0,1,125.2,,47.0,
A.BARNER,WR,,,,,2,,16.0,28.0,0.0
A.BROWN,WR,,,,,2,,16.0,70.0,0.0
A.Bachman,WR,6.1,6.1,0.5,0.0,1,6.1,,3.0,
A.Barner,TE,78.5,78.5,0.5,0.0,1,78.5,,38.0,
A.Brown,WR,257.2,257.2,0.5,0.0,1,257.2,,120.0,
A.COOPER,WR,,,,,2,,16.0,81.0,0.0
A.Cooper,WR,132.8,132.8,0.5,0.0,1,132.8,,93.0,
A.Dalton,QB,58.96,58.96,0.5,0.0,1,58.96,,0.0,
A.Dulin,WR,19.199999,19.199999,0.5,0.0,1,19.199999,,8.0,
A.EKELER,WR,,,,,2,,16.0,42.0,79.0
A.ESTIME,WR,,,,,2,,16.0,4.0,40.0
A.Ekeler,RB,159.6,159.6,0.5,0.0,1,159.6,,56.0,
A.Estime,RB,48.7,48.7,0.5,0.0,1,48.7,,5.0,
A.GIBSON,WR,,,,,2,,16.0,23.0,79.0
A.Gibson,RB,103.4,103.4,0.5,0.0,1,103.4,,29.0,
A.Gould,WR,3.3,3.3,0.5,0.0,1,3.3,,1.0,
A.HOOPER,WR,,,,,2,,16.0,53.0,0.0
A.Hooper,TE,108.6,108.6,0.5,0.0,1,108.6,,59.0,
A.INGOLD,WR,,,,,2,,16.0,11.0,8.0
A.IOSIVAS,WR,,,,,2,,16.0,56.0,0.0
A.Iosivas,WR,119.9,119.9,0.5,0.0,1,119.9,,61.0,
A.JONES,WR,,,,,2,,16.0,57.0,223.0
A.Jones,RB,250.6,250.6,0.5,0.0,1,250.6,,68.0,
A.KAMARA,RB,,,,,2,,16.0,71.0,155.0
A.Kamara,RB,265.3,265.3,0.5,0.0,1,265.3,,89.0,
A.LAZARD,WR,,,,,2,,16.0,39.0,0.0
A.Lazard,WR,126.0,126.0,0.5,0.0,1,126.0,,61.0,
A.MATTISON,WR,,,,,2,,16.0,33.0,101.0
A.MITCHELL,WR,,,,,2,,16.0,46.0,2.0
A.Mattison,RB,137.4,137.4,0.5,0.0,1,137.4,,48.0,
A.Miller,WR,9.4,9.4,0.5,0.0,1,9.4,,5.0,
A.Mitchell,WR,53.76,53.76,0.5,0.0,1,53.76,,55.0,
A.O,WR,,,0.5,0.0,1,,16.0,3.0,8.0
A.O'Connell,QB,93.479996,93.479996,0.5,0.0,1,93.479996,,0.0,
A.OGLETREE,WR,,,0.5,0.0,1,,16.0,12.0,0.0
A.Ogletree,TE,25.9,25.9,0.5,0.0,1,25.9,,14.0,
A.PIERCE,WR,,,,,2,,16.0,51.0,0.0
A.Pierce,WR,161.4,161.4,0.5,0.0,1,161.4,,69.0,
A.RICHARDSON,WR,,,,,2,,16.0,2.0,46.0
A.RODGERS,WR,,,,,2,,16.0,1.0,14.0
A.Richardson,QB,163.36,163.36,0.5,0.0,1,163.36,,1.0,
A.Robinson,WR,6.0,6.0,0.5,0.0,1,6.0,,7.0,
A.Rodgers,QB,256.58,256.58,0.5,0.0,1,256.58,,0.0,
A.ST,WR,,,,,2,,16.0,139.0,0.0
A.Shampklin,RB,1.6999999,1.6999999,0.5,0.0,1,1.6999999,,0.0,
A.Smith,WR,17.699999,17.699999,0.5,0.0,1,17.699999,,9.0,
A.St. Brown,WR,337.88,337.88,0.5,0.0,1,337.88,,151.0,
A.THIELEN,WR,,,,,2,,16.0,53.0,0.0
A.TRAUTMAN,WR,,,,,2,,16.0,20.0,0.0
A.Thielen,WR,139.5,139.5,0.5,0.0,1,139.5,,62.0,
A.Trammell,WR,6.0,6.0,0.5,0.0,1,6.0,,3.0,
A.Trautman,TE,45.0,45.0,0.5,0.0,1,45.0,,23.0,
AJOU AJOU,WR,0.0,0.0,0.5,0.0,1,0.0,,0.0,
ANDREW ARMSTRONG,WR,0.0,0.0,0.5,0.0,1,0.0,,0.0,
ANTWANE WELLS JR,WR,0.0,0.0,0.5,0.0,1,0.0,,0.0,
ARI DST,DST,5.3,5.3,0.5,0.0,1,5.3,,,
ARIAN SMITH,WR,0.0,0.0,0.5,0.0,1,0.0,,0.0,
ASHTON JEANTY,RB,0.0,0.0,0.5,0.0,1,0.0,,0.0,
ATL DST,DST,7.3,7.3,0.5,0.0,1,7.3,,,
B.AIYUK,WR,,,,,2,,16.0,30.0,0.0
B.ALLEN,QB,,,,,2,,16.0,22.0,76.0
B.Aiyuk,WR,62.4,62.4,0.5,0.0,1,62.4,,47.0,
B.Allen,QB,6.3599997,45.780002350000004,0.024740225988085136,-0.9146171778064281,16,732.4800376000001,,0.0,
B.BOWERS,WR,,,,,2,,16.0,141.0,3.0
B.Bowers,TE,262.7,262.7,0.5,0.0,1,262.7,,153.0,
B.Brooks,RB,0.2,0.2,0.5,0.0,1,0.2,,0.0,
B.CHRISTENSEN,TE,,,,,2,,16.0,0.0,16.0
B.CLEVELAND,WR,,,,,2,,16.0,0.0,10.0
B.COOKS,RB,,,,,2,,16.0,43.0,2.0
B.CORUM,WR,,,,,2,,16.0,7.0,50.0
B.Cooks,WR,69.6,69.6,0.5,0.0,1,69.6,,54.0,
B.Corum,RB,33.5,33.5,0.5,0.0,1,33.5,,8.0,
B.Covey,WR,10.4,10.4,0.5,0.0,1,10.4,,8.0,
B.Ford-Wheaton,WR,6.0,6.0,0.5,0.0,1,6.0,,0.0,
B.HALL,WR,,,,,2,,16.0,63.0,149.0
B.HANCE,WR,,,0.5,0.0,1,,16.0,0.0,12.0
B.Hall,RB,240.9,240.9,0.5,0.0,1,240.9,,76.0,
B.IRVING,WR,,,,,2,,16.0,39.0,178.0
B.Irving,RB,260.7,260.7,0.5,0.0,1,260.7,,54.0,
B.Johnson,WR,1.9,1.9,0.5,0.0,1,1.9,,1.0,
B.Jordan,TE,2.6999998,2.6999998,0.5,0.0,1,2.6999998,,3.0,
B.MAYFIELD,WR,,,,,2,,16.0,0.0,47.0
