player_id,name,position,recent_team,fantasy_points,fantasy_points_2024,passing_yards,passing_tds,rushing_yards,rushing_tds,receiving_yards,receiving_tds,receptions,targets,week,games_played,avg_fantasy_points,avg_points,projected_fantasy_points,projected_points,avg_ppr_all_years,std_ppr_all_years,total_games,seasons_played,consistency_score,team,age,years_exp,draft_number,injury_status,adp
00-0034796,L.Jackson,QB,BAL,471.53998,471.53998,4601.0,45,1035.0,4,0.0,0,0,0,19,19,24.817893580386514,24.817893580386514,421.90419086657073,421.90419086657073,22.316326,8.921590407056094,49,3,0.10079029258140049,BAL,27.0,6,32.0,Healthy,999
00-0036900,J.Chase,WR,CIN,276.0,403.0,0.0,0,32.0,0,1708.0,17,127,175,17,17,16.235294117647058,23.705882352941178,276.0,403.0,20.050417,11.563885856906094,48,3,0.0795932095682262,CIN,24.0,3,5.0,Healthy,999
00-0034857,J.Allen,QB,BUF,438.28,438.28,4367.0,32,636.0,14,0.0,0,0,0,19,19,23.067368356805098,23.067368356805098,392.14526206568667,392.14526206568667,23.782856,8.261674437258606,56,3,0.10797183670990636,BUF,28.0,6,7.0,Healthy,999
00-0034844,S.Barkley,RB,PHI,409.7,455.7,0.0,0,2504.0,18,353.0,2,46,58,20,20,20.485000610351562,22.785000610351563,348.24501037597656,387.3450103759766,19.25,9.605135609688386,52,3,0.0942939380319139,PHI,27.0,6,2.0,Healthy,999
00-0036442,J.Burrow,QB,CIN,372.82,372.82,4918.0,43,201.0,2,0.0,0,0,0,17,17,21.930588666130514,21.930588666130514,372.82000732421875,372.82000732421875,20.141739,8.181997528937732,46,3,0.10890876379006065,CIN,27.0,4,1.0,Healthy,999
00-0039139,J.Gibbs,RB,DET,332.4,390.4,0.0,0,1517.0,18,567.0,3,58,74,18,18,18.466666327582466,21.688888549804688,313.9333275689019,368.7111053466797,18.980555,9.125468792046448,36,2,0.09876085942662721,DET,22.0,1,12.0,Healthy,999
00-0036389,J.Hurts,QB,PHI,411.56,411.56,3629.0,23,824.0,19,0.0,0,0,0,19,19,21.66105250308388,21.66105250308388,368.23789255242593,368.23789255242593,22.552364,8.06361419378095,55,3,0.1103312628516509,PHI,26.0,4,53.0,Healthy,999
00-0039067,R.Rice,WR,KC,40.9,64.9,0.0,0,1.0,0,288.0,2,24,29,3,3,13.633333841959635,21.633333841959637,231.76667531331378,367.76667531331384,14.613044,6.677050713146703,23,2,0.1302583553717487,KC,24.0,1,55.0,Healthy,999
00-0039910,J.Daniels,QB,WAS,428.19998,428.19998,4390.0,30,1026.0,7,0.0,0,0,0,20,20,21.409999084472656,21.409999084472656,363.96998443603513,363.96998443603513,21.41,8.521812165220602,20,1,0.10502202549768865,WAS,23.0,0,2.0,Healthy,999
00-0034855,B.Mayfield,QB,TB,381.5,381.5,4685.0,43,401.0,3,0.0,0,0,0,18,18,21.194444444444443,21.194444444444443,360.30555555555554,360.30555555555554,16.888165,7.672359400382538,49,3,0.11530887430194486,TB,29.0,6,1.0,Healthy,999
00-0038542,B.Robinson,RB,ATL,280.7,341.7,0.0,0,1456.0,14,431.0,1,61,72,17,17,16.511765423943014,20.100000718060663,280.70001220703125,341.70001220703125,17.294117,7.702024062544468,34,2,0.11491579347662716,ATL,22.0,1,8.0,Healthy,999
00-0032764,D.Henry,RB,BAL,362.4,381.4,0.0,0,2191.0,19,193.0,2,19,24,19,19,19.073683889288652,20.073683889288652,324.2526261179071,341.2526261179071,17.900385,8.439603687660936,52,3,0.10593665084765784,BAL,30.0,8,45.0,Healthy,999
00-0031345,J.Garoppolo,QB,LA,19.86,19.86,334.0,2,5.0,0,0.0,0,0,0,1,1,19.860000610351562,19.860000610351562,337.62001037597656,337.62001037597656,13.091579,6.491335585290617,19,3,0.13348754552706454,LA,32.0,10,62.0,Healthy,999
00-0033921,C.Godwin,WR,TB,87.8,137.8,0.0,0,2.0,0,576.0,5,50,62,7,7,12.542857578822545,19.685714721679688,213.22857883998327,334.6571502685547,14.542857,6.405567031811672,42,3,0.13503354918054986,TB,28.0,7,84.0,Healthy,999
