player_id,name,first_name,last_name,position,team,number,age,height,weight,college,years_exp,injury_status,status,fantasy_positions,search_rank,depth_chart_position,depth_chart_order,projected_points,avg_points,games_played,fantasy_points_2024,data_source,is_real,last_updated
6462,Ellis Richardson,Ellis,Richardson,TE,,45.0,26.0,75,245,Georgia Southern,3.0,,Active,['TE'],9999999.0,,,0.0,0.0,0,0.0,sleeper_api,True,2025-08-01T19:41:41.204335
7926,Carl Tucker,Carl,Tucker,TE,,0.0,24.0,74,250,Alabama,1.0,,Active,['TE'],426.0,,,0.0,0.0,0,0.0,sleeper_api,True,2025-08-01T19:41:41.204352
1408,Le'Veon Bell,Le'Veon,Bell,RB,TB,6.0,29.0,73,225,Michigan State,9.0,,Active,['RB'],235.0,,,0.0,0.0,0,0.0,sleeper_api,True,2025-08-01T19:41:41.204358
8074,Matt Seybert,Matt,Seybert,TE,,41.0,24.0,76,252,Michigan State,1.0,,Active,['TE'],,,,0.0,0.0,0,0.0,sleeper_api,True,2025-08-01T19:41:41.204361
13175,Kinkead Dent,Kinkead,Dent,QB,,,24.0,76,215,Tennessee-Martin,0.0,,Active,['QB'],9999999.0,,,0.0,0.0,0,0.0,sleeper_api,True,2025-08-01T19:41:41.204365
11533,Brandon Aubrey,Brandon,Aubrey,K,DAL,17.0,30.0,75,218,Notre Dame,2.0,,Active,['K'],149.0,K,1.0,0.0,0.0,0,0.0,sleeper_api,True,2025-08-01T19:41:41.204369
2199,Kasim Edebali,Kasim,Edebali,DE,,95.0,32.0,74,253,Boston College,8.0,,Inactive,"['DL', 'LB']",9999999.0,,,0.0,0.0,0,0.0,sleeper_api,True,2025-08-01T19:41:41.204373
2064,DeMarcus Lawrence,DeMarcus,Lawrence,DE,SEA,0.0,33.0,75,254,Boise State,11.0,,Active,['DL'],620.0,LOLB,1.0,0.0,0.0,0,0.0,sleeper_api,True,2025-08-01T19:41:41.204377
2801,DeAndrew White,DeAndrew,White,WR,,18.0,30.0,72,195,Alabama,7.0,Questionable,Inactive,['WR'],9999999.0,,,0.0,0.0,0,0.0,sleeper_api,True,2025-08-01T19:41:41.204380
4501,Devaroe Lawrence,Devaroe,Lawrence,DT,,0.0,29.0,74,294,Auburn,5.0,,Active,['DL'],1257.0,,,0.0,0.0,0,0.0,sleeper_api,True,2025-08-01T19:41:41.204382
7918,A.J. Rose,A.J.,Rose,RB,,24.0,24.0,73,212,Kentucky,1.0,,Active,['RB'],311.0,,,0.0,0.0,0,0.0,sleeper_api,True,2025-08-01T19:41:41.204387
5428,Ricky Jeune,Ricky,Jeune,WR,,2.0,28.0,75,212,Georgia Tech,4.0,,Active,['WR'],9999999.0,,,0.0,0.0,0,0.0,sleeper_api,True,2025-08-01T19:41:41.204390
12376,Marquis Wilson,Marquis,Wilson,DB,,,,71,185,Purdue,1.0,,Active,['DB'],9999999.0,,,0.0,0.0,0,0.0,sleeper_api,True,2025-08-01T19:41:41.204394
7882,Christian Uphoff,Christian,Uphoff,DB,,0.0,23.0,75,195,Illinois State,1.0,,Active,['DB'],,,,0.0,0.0,0,0.0,sleeper_api,True,2025-08-01T19:41:41.204397
13221,Brett Gabbert,Brett,Gabbert,QB,MIA,16.0,24.0,72,206,Miami (OH),0.0,,Active,['QB'],999.0,,,0.0,0.0,0,0.0,sleeper_api,True,2025-08-01T19:41:41.204400
11522,Jerome Kapp,Jerome,Kapp,WR,,31.0,24.0,75,210,Kutztown,1.0,,Active,['WR'],622.0,,,0.0,0.0,0,0.0,sleeper_api,True,2025-08-01T19:41:41.204403
2474,Nick Boyle,Nick,Boyle,TE,,86.0,29.0,76,261,Delaware,8.0,,Active,['TE'],9999999.0,,,0.0,0.0,0,0.0,sleeper_api,True,2025-08-01T19:41:41.204406
8809,Aaron Shampklin,Aaron,Shampklin,RB,,33.0,25.0,70,195,Harvard,3.0,,Active,['RB'],9999999.0,,,0.0,0.0,0,0.0,sleeper_api,True,2025-08-01T19:41:41.204409
9487,Parker Washington,Parker,Washington,WR,JAX,11.0,23.0,70,204,Penn State,2.0,,Active,['WR'],444.0,SWR,4.0,0.0,0.0,0,0.0,sleeper_api,True,2025-08-01T19:41:41.204412
6923,Geno Stone,Geno,Stone,DB,CIN,22.0,26.0,71,210,Iowa,5.0,,Active,['DB'],628.0,FS,1.0,0.0,0.0,0,0.0,sleeper_api,True,2025-08-01T19:41:41.204414
7325,Joe Gaziano,Joe,Gaziano,DE,,97.0,28.0,76,275,Northwestern,5.0,,Active,['DL'],9999999.0,,,0.0,0.0,0,0.0,sleeper_api,True,2025-08-01T19:41:41.204417
6648,Brock Ruble,Brock,Ruble,OT,,72.0,26.0,80,325,Toledo,3.0,,Active,['OL'],9999999.0,,,0.0,0.0,0,0.0,sleeper_api,True,2025-08-01T19:41:41.204420
3342,Jakeem Grant,Jakeem,Grant,WR,,84.0,32.0,67,172,Texas Tech,8.0,,Active,['WR'],662.0,,,0.0,0.0,0,0.0,sleeper_api,True,2025-08-01T19:41:41.204422
1684,Jaron Brown,Jaron,Brown,WR,,18.0,32.0,75,205,Clemson,9.0,,Active,['WR'],763.0,,,0.0,0.0,0,0.0,sleeper_api,True,2025-08-01T19:41:41.204424
3268,Eric Murray,Eric,Murray,DB,JAX,29.0,31.0,71,199,Minnesota,9.0,,Active,['DB'],9999999.0,SS,1.0,0.0,0.0,0,0.0,sleeper_api,True,2025-08-01T19:41:41.204427
6918,Salvon Ahmed,Salvon,Ahmed,RB,IND,36.0,26.0,71,197,Washington,5.0,Questionable,Active,['RB'],999.0,RB,5.0,0.0,0.0,0,0.0,sleeper_api,True,2025-08-01T19:41:41.204430
6137,Tommy Sweeney,Tommy,Sweeney,TE,,87.0,29.0,77,255,Boston College,6.0,Out,Active,['TE'],9999999.0,,,0.0,0.0,0,0.0,sleeper_api,True,2025-08-01T19:41:41.204433
5668,Aaron Stinnie,Aaron,Stinnie,G,NYG,64.0,31.0,75,312,James Madison,7.0,,Active,"['OG', 'OL']",9999999.0,OL,,0.0,0.0,0,0.0,sleeper_api,True,2025-08-01T19:41:41.204437
13132,JJ Roberts,JJ,Roberts,DB,TB,36.0,23.0,72,195,Marshall,0.0,,Active,['DB'],699.0,DB,,0.0,0.0,0,0.0,sleeper_api,True,2025-08-01T19:41:41.204439
3561,Bryce Williams,Bryce,Williams,TE,,80.0,28.0,78,258,East Carolina,6.0,,Active,['TE'],9999999.0,,,0.0,0.0,0,0.0,sleeper_api,True,2025-08-01T19:41:41.204441
3356,Kyle Murphy,Kyle,Murphy,OT,NO,79.0,28.0,78,305,Stanford,6.0,,Active,"['OL', 'OT']",9999999.0,,,0.0,0.0,0,0.0,sleeper_api,True,2025-08-01T19:41:41.204445
6786,CeeDee Lamb,CeeDee,Lamb,WR,DAL,88.0,26.0,74,200,Oklahoma,5.0,,Active,['WR'],6.0,SWR,1.0,0.0,0.0,0,0.0,sleeper_api,True,2025-08-01T19:41:41.204447
5038,Michael Gallup,Michael,Gallup,WR,WAS,12.0,29.0,73,205,Colorado State,7.0,,Active,['WR'],425.0,LWR,7.0,0.0,0.0,0,0.0,sleeper_api,True,2025-08-01T19:41:41.204450
