player_id,season,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,fantasy_points,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh
00-0019596,2022,REG,490,733,4694.0,25,9.0,22.0,160.0,3,2,5027.0,2292.0,237.0,61.90626977165676,2,16.32944806347621,1.55658437000219,29,-1.0,1,2.0,2.0,5.0,-20.469320752095932,0,0,1,0.0,0,0.0,0.0,16.0,0.0,0.0,-4.726016435190104,0,0.0,0.034482758620689655,0.06130268199233716,0.0946360153256705,0.0,271.65999999999997,271.65999999999997,17,0.0013315579227696406,0.0030995738086013174,0.0,0.004476995931035515,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.175011596144926
00-0022824,2022,REG,1,1,4.0,0,0.0,0.0,0.0,0,0,0.0,4.0,1.0,2.8644769557286054,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,1,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0023515579071134627
00-0023459,2022,REG,350,542,3695.0,26,12.0,32.0,258.0,4,2,4327.0,1893.0,177.0,-6.309945535983276,2,16.405610028274516,1.5024781053495646,34,94.0,1,2.0,2.0,9.0,-7.814973868954614,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,239.2,239.2,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16658541681175568
00-0024243,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,6,7,66.0,2,0.0,0.0,58.0,14.0,5.0,6.967597299488261,1,5.423809523809524,0.22495180258338152,0.19698294496552232,0.4753157653509379,0.0,20.6,26.6,6,0.03482587064676617,0.03327596098680436,0.020527859237536656,0.07885957475959274,0.047619047619047616,0.2222222222222222,0.07042253521126761,0.0875,0.1349206349206349,0.08253968253968255,0.3283582089552239,0.051556382525099816
00-0026143,2022,REG,309,461,3057.0,14,13.0,38.0,287.0,12,3,2772.0,1405.0,156.0,-24.760005779762064,0,13.382329482733397,0.7375237775341289,27,70.0,1,3.0,2.0,9.0,-11.035300253523976,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,155.28,155.28,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15543854731826462
00-0026158,2022,REG,110,191,1051.0,5,3.0,10.0,66.0,5,4,1537.0,432.0,55.0,-25.36170515305042,0,2.9259999318418233,0.1847631111054904,3,6.0,0,0.0,0.0,1.0,-0.13692106335656717,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,48.64,48.64,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12161824273641046
00-0026189,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,9,17,153.0,0,0.0,0.0,302.0,23.0,5.0,1.6338267779265516,0,3.4186555659371143,0.7240323402088108,1.399621265457681,2.0657833961335927,0.0,15.3,24.3,7,0.09659090909090909,0.1980327868852459,0.05542168674698795,0.3033125931445604,0.14272388059701493,0.0,0.10204081632653061,0.09433962264150944,0.07136194029850747,0.11417910447761195,0.8693181818181818,0.05546932067202337
00-0026197,2022,REG,0,2,0.0,0,0.0,0.0,0.0,0,0,-4.0,0.0,0.0,-1.8915138673619367,0,0.0,0.0,5,-5.0,0,0.0,0.0,0.0,-5.122464370040689,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.5,-0.5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.002150537634408602
00-0026300,2022,REG,1,2,10.0,0,0.0,0.0,0.0,0,0,2.0,4.0,1.0,-0.8358491185936145,0,5.0,0.0,2,3.0,0,0.0,0.0,0.0,-3.6153255199315026,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.7000000000000001,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.006916996047430831
00-0026498,2022,REG,206,303,2087.0,10,8.0,29.0,208.0,4,3,2027.0,1119.0,105.0,-24.03734681550175,0,9.687971224528836,0.6961748722739384,13,9.0,1,1.0,0.0,3.0,-2.5026393159641884,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,108.38000000000001,108.38000000000001,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15609517225486808
