"RK","PLAYER NAME",TEAM,"POS","AGE","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1","Ashton Jeanty",LV,"RB1","21","1","1","1.0","0.0","0"
"2","Omarion Hampton",LAC,"RB2","22","2","4","2.5","0.8","0"
"3","Tetairoa McMillan",CAR,"WR1","22","2","14","3.8","3.0","0"
"4","Travis Hunter",JAC,"WR2","22","3","6","4.0","0.8","0"
"5","TreVeyon Henderson",NE,"RB3","22","4","13","5.9","2.2","0"
"6","Emeka Egbuka",TB,"WR3","22","4","11","7.9","2.0","+2"
"7","Tyler Warren",IND,"TE1","23","5","11","8.5","1.9","+6"
"8","RJ Harvey",DEN,"RB4","24","5","14","8.5","3.0","-2"
"9","Kaleb Johnson",PIT,"RB5","21","7","15","9.2","2.0","-2"
"10","Colston Loveland",CHI,"TE2","21","6","21","10.5","4.3","+7"
"11","Quinshon Judkins",CLE,"RB6","21","6","18","10.8","3.6","-1"
"12","Luther Burden III",CHI,"WR4","21","7","19","12.4","3.2","+4"
"13","Matthew Golden",GB,"WR5","22","8","15","12.4","2.1","-4"
"14","Tre' Harris",LAC,"WR6","23","6","17","13.6","2.7","0"
"15","Cameron Ward",TEN,"QB1","23","8","19","13.7","3.1","0"
"16","Jayden Higgins",HOU,"WR7","22","11","19","14.6","2.4","-5"
"17","Cam Skattebo",NYG,"RB7","23","11","23","17.7","3.0","-5"
"18","Bhayshul Tuten",JAC,"RB8","23","15","24","19.1","2.6","0"
"19","Jack Bech",LV,"WR8","22","16","27","19.4","3.3","+3"
"20","Jaylin Noel",HOU,"WR9","22","15","26","20.5","3.1","+5"
"21","Jaxson Dart",NYG,"QB2","22","14","29","21.2","4.4","+7"
"22","Kyle Williams",NE,"WR10","22","17","29","22.1","3.7","-2"
"23","Mason Taylor",NYJ,"TE3","21","19","35","25.2","4.5","0"
"24","Elijah Arroyo",SEA,"TE4","22","21","39","25.8","5.0","+3"
"25","Dylan Sampson",CLE,"RB9","20","22","37","28.4","4.3","-4"
"26","Terrance Ferguson",LAR,"TE5","22","21","41","28.5","5.9","+11"
"27","Jaydon Blue",DAL,"RB10","21","23","34","29.1","3.2","-8"
"28","Elic Ayomanor",TEN,"WR11","22","22","44","29.3","6.1","+8"
"29","Jalen Milroe",SEA,"QB3","22","17","43","30.5","7.5","+9"
"30","Tyler Shough",NO,"QB4","25","21","46","31.2","7.7","-4"
"31","Jalen Royals",KC,"WR12","22","26","39","32.1","5.0","-1"
"32","Jarquez Hunter",LAR,"RB11","22","23","48","32.2","6.0","-3"
"33","Harold Fannin Jr.",CLE,"TE6","21","25","42","32.7","4.6","+8"
"34","Pat Bryant",DEN,"WR13","22","24","54","35.5","9.2","-10"
"35","DJ Giddens",IND,"RB12","21","28","41","36.1","3.4","-4"
"36","Devin Neal",NO,"RB13","21","25","52","38.1","8.3","-1"
"37","Isaac TeSlaa",DET,"WR14","23","27","63","39.5","10.1","+8"
"38","Tory Horton",SEA,"WR15","22","29","53","40.9","7.8","+10"
