player_id,season,season_type,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr_x,special_teams_tds,fantasy_points,fantasy_points_ppr,games,tgt_sh,ay_sh,yac_sh,wopr_y,ry_sh,rtd_sh,rfd_sh,rtdfd_sh,dom,w8dom,yptmpa,ppr_sh,data_year
00-0019596,2022,REG,490,733,4694.0,25,9.0,22.0,160.0,3,2,5027.0,2292.0,237.0,61.90626977165676,2,16.32944806347621,1.55658437000219,29,-1.0,1,2.0,2.0,5.0,-20.46932075209593,0,0,1,0.0,0,0.0,0.0,16.0,0.0,0.0,-4.726016435190104,0,0.0,0.0344827586206896,0.0613026819923371,0.0946360153256705,0.0,271.66,271.66,17,0.0013315579227696,0.0030995738086013,0.0,0.0044769959310355,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.175011596144926,2022
00-0022824,2022,REG,1,1,4.0,0,0.0,0.0,0.0,0,0,0.0,4.0,1.0,2.8644769557286054,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.16,0.16,1,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0023515579071134,2022
00-0023459,2022,REG,350,542,3695.0,26,12.0,32.0,258.0,4,2,4327.0,1893.0,177.0,-6.309945535983276,2,16.405610028274516,1.5024781053495646,34,94.0,1,2.0,2.0,9.0,-7.814973868954614,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,239.2,239.2,17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1665854168117556,2022
00-0024243,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,6,7,66.0,2,0.0,0.0,58.0,14.0,5.0,6.967597299488261,1,5.423809523809524,0.2249518025833815,0.1969829449655223,0.4753157653509379,0.0,20.6,26.6,6,0.0348258706467661,0.0332759609868043,0.0205278592375366,0.0788595747595927,0.0476190476190476,0.2222222222222222,0.0704225352112676,0.0875,0.1349206349206349,0.0825396825396825,0.3283582089552239,0.0515563825250998,2022
00-0026143,2022,REG,309,461,3057.0,14,13.0,38.0,287.0,12,3,2772.0,1405.0,156.0,-24.760005779762064,0,13.382329482733397,0.7375237775341289,27,70.0,1,3.0,2.0,9.0,-11.035300253523976,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,155.28,155.28,12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1554385473182646,2022
00-0026158,2022,REG,110,191,1051.0,5,3.0,10.0,66.0,5,4,1537.0,432.0,55.0,-25.36170515305042,0,2.9259999318418237,0.1847631111054904,3,6.0,0,0.0,0.0,1.0,-0.1369210633565671,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,48.64,48.64,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1216182427364104,2022
00-0026189,2022,REG,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0,9,17,153.0,0,0.0,0.0,302.0,23.0,5.0,1.6338267779265516,0,3.4186555659371143,0.7240323402088108,1.399621265457681,2.0657833961335927,0.0,15.3,24.3,7,0.096590909090909,0.1980327868852459,0.0554216867469879,0.3033125931445604,0.1427238805970149,0.0,0.1020408163265306,0.0943396226415094,0.0713619402985074,0.1141791044776119,0.8693181818181818,0.0554693206720233,2022
00-0026197,2022,REG,0,2,0.0,0,0.0,0.0,0.0,0,0,-4.0,0.0,0.0,-1.8915138673619367,0,0.0,0.0,5,-5.0,0,0.0,0.0,0.0,-5.122464370040689,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,-0.5,-0.5,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0021505376344086,2022
00-0026300,2022,REG,1,2,10.0,0,0.0,0.0,0.0,0,0,2.0,4.0,1.0,-0.8358491185936145,0,5.0,0.0,2,3.0,0,0.0,0.0,0.0,-3.615325519931503,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.7000000000000001,0.7000000000000001,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0069169960474308,2022
00-0026498,2022,REG,206,303,2087.0,10,8.0,29.0,208.0,4,3,2027.0,1119.0,105.0,-24.03734681550175,0,9.687971224528836,0.6961748722739384,13,9.0,1,1.0,0.0,3.0,-2.5026393159641884,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,108.38,108.38,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.156095172254868,2022
