player_id,player_name,player_display_name,position,position_group,headshot_url,recent_team,season,week,season_type,opponent_team,completions,attempts,passing_yards,passing_tds,interceptions,sacks,sack_yards,sack_fumbles,sack_fumbles_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,passing_2pt_conversions,pacr,dakota,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_fumbles_lost,rushing_first_downs,rushing_epa,rushing_2pt_conversions,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_fumbles_lost,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,receiving_2pt_conversions,racr,target_share,air_yards_share,wopr,special_teams_tds,fantasy_points,fantasy_points_ppr
00-0023459,A.Rodgers,Aaron Rodgers,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jdcb4nomlc4rd6k5l6to",NYJ,2024,1,REG,SF,13,21,167.0,1,1.0,1.0,5.0,0,0,164.0,93.0,8.0,3.258283,0,1.0182927,0.066574275,1,-1.0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,8.58,8.58
00-0023459,A.Rodgers,Aaron Rodgers,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jdcb4nomlc4rd6k5l6to",NYJ,2024,2,REG,TEN,18,30,176.0,2,0.0,2.0,12.0,0,0,167.0,96.0,9.0,1.6537689,0,1.0538923,0.04078019,2,1.0,0,0.0,0.0,0.0,-0.32714108,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,15.14,15.14
00-0023459,A.Rodgers,Aaron Rodgers,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jdcb4nomlc4rd6k5l6to",NYJ,2024,3,REG,NE,27,35,281.0,2,0.0,2.0,14.0,0,0,226.0,152.0,16.0,18.204784,0,1.2433628,0.25786343,3,18.0,0,0.0,0.0,2.0,1.4149843,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,21.04,21.04
00-0023459,A.Rodgers,Aaron Rodgers,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jdcb4nomlc4rd6k5l6to",NYJ,2024,4,REG,DEN,24,42,225.0,0,0.0,5.0,41.0,0,0,306.0,96.0,10.0,-12.087543,0,0.7352941,-0.01665656,5,26.0,0,0.0,0.0,1.0,-0.5703658,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,11.6,11.6
00-0023459,A.Rodgers,Aaron Rodgers,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jdcb4nomlc4rd6k5l6to",NYJ,2024,5,REG,MIN,29,54,244.0,2,3.0,3.0,26.0,1,0,410.0,123.0,13.0,-16.156328,0,0.595122,-0.019009963,0,0.0,0,0.0,0.0,0.0,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,11.76,11.76
00-0023459,A.Rodgers,Aaron Rodgers,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jdcb4nomlc4rd6k5l6to",NYJ,2024,6,REG,BUF,23,35,294.0,2,1.0,3.0,22.0,1,0,257.0,138.0,12.0,11.157052,0,1.1439688,0.15330939,0,0.0,0,0.0,0.0,0.0,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,17.76,17.76
00-0023459,A.Rodgers,Aaron Rodgers,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jdcb4nomlc4rd6k5l6to",NYJ,2024,7,REG,PIT,24,39,276.0,1,2.0,1.0,7.0,0,0,203.0,186.0,13.0,-0.96827877,1,1.3596059,0.024145357,0,0.0,0,0.0,0.0,0.0,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,13.04,13.04
00-0023459,A.Rodgers,Aaron Rodgers,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jdcb4nomlc4rd6k5l6to",NYJ,2024,8,REG,NE,17,28,233.0,2,0.0,1.0,9.0,0,0,274.0,67.0,12.0,5.1627393,0,0.850365,0.20544809,0,0.0,0,0.0,0.0,0.0,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,17.32,17.32
00-0023459,A.Rodgers,Aaron Rodgers,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jdcb4nomlc4rd6k5l6to",NYJ,2024,9,REG,HOU,22,32,211.0,3,0.0,2.0,18.0,0,0,185.0,112.0,11.0,8.605539,0,1.1405406,0.1350045,1,-1.0,0,0.0,0.0,0.0,-1.8987705,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,20.34,20.34
00-0023459,A.Rodgers,Aaron Rodgers,QB,QB,"https://static.www.nfl.com/image/upload/f_auto,q_auto/league/jdcb4nomlc4rd6k5l6to",NYJ,2024,10,REG,ARI,22,35,151.0,0,0.0,3.0,23.0,1,1,220.0,83.0,10.0,-10.893348,0,0.68636364,0.011472611,0,0.0,0,0.0,0.0,0.0,,0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,,0,,,,,0.0,4.04,4.04
